"","language_id","term_id","term","term_abbreviation","language_name","language_location","continent","field_worker_1","field_worker_2","field_worker_3","Unnamed..6","Unnamed..7"
"91",3,55,"sikolate","SK","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"92",3,56,"apog","OG","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"93",3,57,"melabsaw","MW","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"94",3,58,"bayolet","BT","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"95",3,59,"lokban","LB","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"96",3,60,"sita","SI","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"97",3,61,"asok","OK","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"98",3,62,"korol","OL","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"99",3,63,"maöng","MA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"100",3,64,"waʔet","WA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"101",3,65,"tamak","TK","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"102",3,66,"laitla","LL","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"103",3,67,"putik","PU","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"104",3,68,"asek","AK","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"105",3,69,"braun","BR","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"106",3,70,"sablot","SB","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"107",4,1,"sak","SA","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"108",4,2,"k'ek","KE","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"109",4,3,"ajak","CY","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"110",4,4,"k'an","KA","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"111",4,5,"txa'x","TA","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"112",4,6,"txib","TX","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"113",4,7,"wuro's","WR","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"114",4,8,"xew","XE","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"115",4,9,"xk'inco'j","XK","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"116",4,10,"ẍeẍ","XX","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"117",4,11,"haranch","LA","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
